Time,ED_AI_0364,ED_AI_0395,ED_AI_0339,ED_AI_0338,ED_AI_0337,ED_AI_0336,ED_AI_0436,ED_AI_0437,ED_AI_0438,ED_AI_0439,ED_AI_0316,ED_AI_0317,ED_AI_0318,ED_AI_0319,ED_AI_0419,ED_AI_0418,ED_AI_0417,ED_AI_0416,ED_AI_0387,ED_AI_0397,ED_AI_0487,ED_AI_0410,ED_AI_0310,ED_AI_0343,ED_AI_0443,ED_AI_0366,ED_AI_0367,ED_AI_0368,ED_AI_0369,ED_AI_0469,ED_AI_0468,ED_AI_0467,ED_AI_0466,EI_AI_0110,EH_AC_3034,EH_AC_3035,EH_AC_3037,EH_AC_3040,EH_AC_3053,EH_AC_3054,EH_AC_3056,EH_AC_3059
2015/10/01,25939.0546875,13663.16894531,347.27944946,364.56027222,366.73522949,352.7545166,356.09014893,360.76473999,370.86761475,339.95544434,634.3381958,626.80322266,640.84954834,614.77575684,597.95349121,634.76000977,622.82550049,611.53912354,1213.59313965,1185.40991211,1195.73864746,822.0401001,824.9342041,0.92472333,0.84190458,2.80632305,2.81270766,2.7668519,2.47888947,2.64454865,2.80984879,2.62611389,2.99993873,701.78234863,13.48307705,30.01190186,29.3008213,10.90731525,13.37499046,29.84884262,29.6513176,11.15745068
2015/10/02,25993.74023437,13667.16308594,346.06472778,364.22134399,364.98504639,351.55175781,355.58010864,359.49203491,368.64108276,339.63809204,632.03173828,624.26812744,639.31152344,611.91088867,597.25946045,632.37823486,621.00152588,610.24523926,1210.25915527,1184.02575684,1200.28491211,815.18359375,821.5010376,0.9319101,0.83946586,2.83889818,2.80215764,2.75111842,2.66079688,2.66130829,2.84439182,2.69838238,2.99993873,703.18847656,13.48307705,30.01190186,29.3008213,10.90731525,13.11819172,29.3087635,29.33059692,11.4172163
2015/10/03,25540.13867187,13469.25,353.99310303,370.48538208,371.79000854,358.28845215,362.20278931,367.42483521,376.29678345,346.75149536,639.70812988,634.21136475,646.47570801,622.05096436,607.28131104,642.06677246,630.75415039,619.38427734,1213.73779297,1185.23535156,1197.81359863,829.25183105,832.68798828,0.94458115,0.84778738,2.81931376,2.73791432,2.71220994,2.63845587,2.5910182,2.77769065,2.70470452,2.99993873,709.07385254,13.48307705,30.01190186,29.3008213,10.90731525,13.75086689,30.67428398,30.14369965,10.30510139
2015/10/04,25596.85351562,13224.08984375,349.98355103,367.64523315,368.03387451,354.28607178,358.55838013,364.60934448,373.41989136,343.09741211,637.04168701,629.54620361,644.71374512,618.71136475,602.9262085,639.31488037,628.33428955,615.26855469,1213.80688477,1187.03552246,1199.23010254,826.64520264,831.96508789,0.94365072,0.8459112,2.78665543,2.74401402,2.70745015,2.29703617,2.66196489,2.7627058,2.63328314,2.99993873,711.60528564,13.48307705,30.01190186,29.3008213,10.90731525,13.87056065,30.12471771,30.22348022,10.33566952
2015/10/05,25163.10742187,13236.90820313,353.67575073,370.46795654,372.909729,356.87792969,367.42700195,372.30310059,379.0274353,351.74206543,637.15710449,631.89801025,646.09362793,620.82885742,611.84655762,644.0435791,636.24169922,624.80517578,1201.39953613,1183.04772949,1203.80236816,828.29602051,833.48846436,0.94558138,0.8527317,2.75892425,2.67118073,2.69002342,2.4514699,2.42848563,2.70084667,2.60482597,2.99993873,711.03759766,13.48307705,30.01190186,29.3008213,10.90731525,13.9316988,30.49490166,30.56919861,10.27070141
2015/11/06,25946.6640625,13236.34863281,340.65957642,365.00186157,365.71356201,357.12582397,355.50671387,363.75845337,372.13116455,341.46905518,645.73510742,629.95739746,644.51159668,615.82592773,605.85852051,639.01855469,627.42230225,615.30938721,1232.35144043,1188.33850098,1190.77905273,827.61383057,834.87872314,1.01724398,0.84175825,2.76296258,2.79867673,2.7772212,2.804214,2.62191582,2.80465055,1.66289639,2.36290526,696.52532959,13.48307705,30.01190186,29.3008213,10.90731525,14.06835938,31.23967743,29.13775444,10.58773708
2015/11/07,25660.91015625,12925.32714844,340.89868164,366.2472229,366.3767395,360.87634277,362.24572754,372.31762695,372.30007935,345.95544434,645.0736084,627.36694336,641.71777344,611.56164551,607.76672363,635.56658936,635.98651123,621.62030029,1237.7454834,1196.75683594,1203.06140137,828.3145752,839.18701172,1.02803969,0.84690517,2.73334956,2.85812283,2.76866817,3.07284427,2.56420565,2.86718297,2.37216544,2.32248783,696.0914917,13.48307705,30.01190186,29.3008213,10.90731525,14.13854313,31.84207726,29.28138924,10.42699051
2015/11/08,21401.18945312,12364.3203125,331.57757568,359.76669312,356.82241821,352.08099365,351.09222412,358.79336548,361.15042114,332.23300171,637.78961182,618.5602417,637.43255615,603.6192627,584.96411133,617.94989014,612.55133057,601.72796631,1216.22399902,1151.09375,1173.20397949,822.83154297,833.82043457,1.04564726,0.88967073,2.23320413,2.2812264,2.18801689,2.28149486,2.42471695,2.59675574,2.0515027,2.12890434,696.57293701,13.48307705,30.01190186,29.3008213,10.90731525,14.48713684,31.65684891,29.56321907,10.40681171
2015/11/09,20468.20703125,11812.14941406,340.52810669,370.02005005,368.74893188,361.39474487,359.66976929,363.44104004,367.15463257,335.51898193,643.35424805,628.93591309,643.9329834,613.04840088,584.66040039,620.324646,613.58874512,607.69543457,1196.06774902,1133.03320312,1162.01342773,823.08416748,833.10266113,1.02714109,0.87949574,2.12217093,2.16108346,2.07552457,2.27865624,2.35773516,2.45616555,2.1233809,2.02680278,696.45257568,13.48307705,30.01190186,29.3008213,10.90731525,14.49878407,31.97362137,29.45659256,10.33456326
2015/11/10,20793.73046875,11942.83300781,329.08163452,372.30310059,370.47207642,364.95324707,365.28936768,369.87036133,370.49069214,334.42608643,644.66790771,625.91992187,644.14337158,606.75848389,587.59741211,629.2532959,626.34576416,620.70855713,1213.83776855,1144.56713867,1169.47265625,829.5012207,837.75250244,1.07058227,0.91472518,2.2762382,2.38609862,2.27446771,2.25630641,2.3197031,2.35416436,2.19839025,2.08765531,697.19903564,13.48307705,30.01190186,29.3008213,10.90731525,14.55427742,32.50417709,29.42733192,9.74025345
